iter	RMSE
0	0.3897168753
1	0.380792131
2	0.3716096894
3	0.3627424473
4	0.3538693004
5	0.3462993444
6	0.3393684788
7	0.3330137035
8	0.3262690848
9	0.320763811
10	0.3149149757
11	0.3094958825
12	0.3042337847
13	0.2987007517
14	0.2947269215
15	0.2893695384
16	0.2860013733
17	0.2819802661
18	0.2789261129
19	0.2747328519
20	0.2714142949
21	0.2688464003
22	0.2662405832
23	0.2638233926
24	0.261733027
25	0.2583912896
26	0.2567347828
27	0.2551256401
28	0.2531455723
29	0.2514983409
30	0.2502909613
31	0.2488435684
32	0.2461024623
33	0.2443835992
34	0.2432790732
35	0.2420941891
36	0.240729388
37	0.2398007791
38	0.2383975612
39	0.2368620073
40	0.2363052311
41	0.2356268094
42	0.2348083535
43	0.2335654772
44	0.2332518124
45	0.2331167061
46	0.2323254216
47	0.2312985655
48	0.2305494301
49	0.2302011841
50	0.2298988926
51	0.2297206832
52	0.229563566
53	0.2290489073
54	0.2288535069
55	0.2279253486
56	0.2277386363
57	0.2276316795
58	0.2274160926
59	0.2270475108
60	0.2268298541
61	0.2266423872
62	0.2265197214
63	0.2258004526
64	0.2255864053
65	0.2253690872
66	0.2250222429
67	0.2248713308
68	0.2244239956
69	0.2243235441
70	0.2237422904
71	0.2236494319
72	0.2232793761
73	0.2231838858
74	0.2227547501
75	0.2226745789
76	0.2223911839
77	0.222212118
78	0.2220289805
79	0.2213188269
80	0.2212162603
81	0.220762904
82	0.2204356653
83	0.2203408118
84	0.2200972293
85	0.2199213039
86	0.2198396487
87	0.2197307325
88	0.2192907106
89	0.2192043837
90	0.2191089019
91	0.2188147276
92	0.2186584397
93	0.2185008346
94	0.2183992211
95	0.2181715505
96	0.2181042503
97	0.218012422
98	0.2178600424
99	0.2178055271
100	0.217509903
101	0.2173716351
102	0.2173197748
103	0.2171951247
104	0.2171178196
105	0.2169620064
106	0.2168639768
107	0.2168072556
108	0.2163435113
109	0.2162790419
110	0.2155670036
111	0.2154973785
112	0.2153504213
113	0.2152962732
114	0.2152527031
115	0.2152009357
116	0.2151486393
117	0.2150429721
118	0.2148904947
119	0.2148500667
120	0.2141647297
121	0.213950213
122	0.2138782801
123	0.2133045966
124	0.2131952974
125	0.2131526668
126	0.2131066408
127	0.213059066
128	0.2128992918
129	0.2124473551
130	0.212283174
131	0.2122443384
132	0.212106058
133	0.2119780612
134	0.2118573554
135	0.2117685839
136	0.2117343878
137	0.2116897756
138	0.2115877662
139	0.2114646509
140	0.2113448843
141	0.2112958055
142	0.2112295334
143	0.2112003705
144	0.2110347215
145	0.2109941951
146	0.2108719617
147	0.2107479349
148	0.2107223013
149	0.2105811477
150	0.2104001082
151	0.2103724506
152	0.2103340775
153	0.2102070441
154	0.2101625127
155	0.2100924878
156	0.2100616146
157	0.2100215577
158	0.209970496
159	0.2099443226
160	0.2099001503
161	0.2098549388
162	0.209816385
163	0.2097844477
164	0.2097423097
165	0.2096968131
166	0.2093820041
167	0.2089127972
168	0.2088396077
169	0.2088174143
170	0.2087839799
171	0.2085178812
172	0.2084879103
173	0.2084596295
174	0.2081142342
175	0.2080836074
176	0.207852952
177	0.207827661
178	0.2077826444
179	0.2077629913
180	0.2077345881
181	0.2076316346
182	0.2076032531
183	0.2072078996
184	0.2071808766
185	0.2071523143
186	0.2071091232
187	0.2070892589
188	0.2070641703
189	0.2070351998
190	0.2067326303
191	0.2067037546
192	0.2066775116
193	0.2064599357
194	0.2062024436
195	0.2059239658
196	0.2059002145
197	0.2058740972
198	0.2058579184
199	0.2058420143
