iter	Passed	Remaining
0	0	142
1	1	129
2	1	116
3	2	111
4	2	106
5	3	103
6	3	105
7	4	104
8	5	106
9	5	106
10	6	109
11	7	109
12	7	108
13	7	105
14	8	103
15	8	100
16	9	99
17	9	97
18	10	95
19	10	94
20	10	93
21	11	93
22	12	93
23	12	91
24	13	91
25	13	89
26	13	88
27	14	87
28	14	85
29	14	84
30	15	83
31	15	82
32	16	81
33	16	80
34	16	79
35	17	78
36	17	78
37	18	77
38	18	76
39	18	75
40	19	74
41	19	74
42	19	72
43	20	71
44	20	71
45	21	70
46	21	69
47	21	69
48	22	68
49	22	67
50	23	67
51	23	66
52	23	66
53	24	65
54	24	64
55	24	64
56	25	63
57	25	63
58	26	62
59	26	61
60	26	61
61	27	60
62	27	60
63	28	59
64	28	58
65	28	58
66	29	57
67	29	57
68	29	56
69	30	56
70	30	55
71	31	55
72	31	54
73	32	54
74	32	53
75	32	53
76	34	54
77	34	54
78	35	53
79	35	53
80	36	52
81	36	52
82	36	52
83	37	51
84	37	50
85	38	50
86	38	49
87	38	49
88	39	48
89	39	48
90	40	47
91	40	47
92	40	46
93	41	46
94	41	45
95	41	45
96	42	44
97	42	44
98	43	44
99	43	43
100	44	43
101	44	42
102	44	42
103	45	41
104	45	41
105	46	40
106	46	40
107	47	40
108	48	40
109	49	40
110	49	39
111	50	39
112	50	38
113	50	38
114	51	37
115	51	37
116	51	36
117	52	36
118	52	35
119	52	35
120	53	34
121	53	34
122	53	33
123	54	33
124	54	32
125	55	32
126	55	31
127	55	31
128	56	31
129	56	30
130	57	30
131	57	29
132	57	29
133	58	28
134	58	28
135	59	27
136	59	27
137	60	27
138	60	26
139	61	26
140	61	25
141	62	25
142	62	24
143	62	24
144	63	23
145	63	23
146	63	23
147	64	22
148	64	22
149	64	21
150	65	21
151	65	20
152	65	20
153	66	19
154	66	19
155	67	18
156	67	18
157	68	18
158	68	17
159	68	17
160	69	16
161	69	16
162	69	15
163	70	15
164	71	15
165	71	14
166	72	14
167	72	13
168	72	13
169	73	12
170	73	12
171	74	12
172	75	11
173	76	11
174	76	10
175	77	10
176	77	10
177	78	9
178	78	9
179	79	8
180	79	8
181	80	7
182	80	7
183	81	7
184	81	6
185	82	6
186	82	5
187	82	5
188	83	4
189	83	4
190	84	3
191	84	3
192	85	3
193	85	2
194	85	2
195	86	1
196	86	1
197	87	0
198	87	0
199	88	0
